id,简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
16639,低楼层 精装2居室 满五年 距离地铁一公里左右,双裕小区 , 2室1厅 , 78.93平米 ,155人关注 , 共21次带看 , 6个月以前发布,360,单价45611元/平米,顺义,"116.561056,40.112912"
16639,佳和宜园南北通透三居 客厅带阳台 满五年,佳和宜园 , 3室1厅 , 91平米 ,28人关注 , 共13次带看 , 1个月以前发布,330,单价36264元/平米,顺义,"116.655693,40.180093"
16639,西辛南区正规三居室 南北通透 楼层好,西辛南区 , 3室1厅 , 93平米 ,27人关注 , 共17次带看 , 3个月以前发布,387,单价41613元/平米,顺义,"116.649455,40.141789"
16639,鲁能3居室 精装修 南北通透 满2年,鲁能7号院颐景溪园 , 3室2厅 , 118平米 ,223人关注 , 共116次带看 , 3个月以前发布,465,单价39407元/平米,顺义,"116.669059,40.187381"
16639,怡馨家园三居室 板楼带电梯 院里有空中花园,怡馨家园 , 3室2厅 , 123.89平米 ,91人关注 , 共125次带看 , 3个月以前发布,510,单价41166元/平米,顺义,"116.654682,40.125799"
16639,精装三居室   视野宽阔  南北通透,东方太阳城 , 3室2厅 , 150平米 ,14人关注 , 共34次带看 , 1个月以前发布,495,单价33000元/平米,顺义,"116.722221,40.087052"
16639,独立2居室 有钥匙 简装修 诚心出售,裕龙三区 , 2室1厅 , 87.83平米 ,54人关注 , 共174次带看 , 7个月以前发布,390,单价44404元/平米,顺义,"116.678194,40.129754"
16639,满五年，南北通透正规小三居，业主急售,双兴南区 , 3室2厅 , 104.86平米 ,31人关注 , 共9次带看 , 2个月以前发布,365,单价34809元/平米,顺义,"116.659297,40.14532"
16639,樱花园三区低楼层三居室 业主诚心出售,樱花园三区 , 3室1厅 , 128.17平米 ,25人关注 , 共9次带看 , 1个月以前发布,380,单价29649元/平米,顺义,"116.632377,40.033796"
16639,香花畦家园，两居室，南北通透，采光效果好,香花畦家园 , 2室2厅 , 113.1平米 ,25人关注 , 共9次带看 , 4个月以前发布,650,单价57472元/平米,顺义,"116.554991,40.116654"
16639,樱花园三区低楼层三居室 业主诚心出售,樱花园三区 , 3室1厅 , 128.17平米 ,25人关注 , 共9次带看 , 1个月以前发布,380,单价29649元/平米,顺义,"116.632377,40.033796"
16639,龙府花园 低楼层 三居两卫 满五年 业主家庭首套房,龙府花园 , 3室1厅 , 129.42平米 ,11人关注 , 共10次带看 , 3个月以前发布,520,单价40180元/平米,顺义,"116.658337,40.147875"
16639,怡馨家园南北通透仅有契税东风小学仁和一中三居双卫,怡馨家园 , 3室2厅 , 116.74平米 ,48人关注 , 共8次带看 , 2个月以前发布,512,单价43859元/平米,顺义,"116.654682,40.125799"
16639,金汉绿港 纯正三居室 南北通透 ,金汉绿港四区 , 3室2厅 , 168平米 ,43人关注 , 共7次带看 , 4个月以前发布,640,单价38096元/平米,顺义,"116.66841,40.142858"
16639,地铁760米，满五年，南北三居,东兴一区 , 3室1厅 , 113.48平米 ,48人关注 , 共17次带看 , 一年前发布,400,单价35249元/平米,顺义,"116.6709,40.137772"
16639,东兴一区 3室1厅 328万,东兴一区 , 3室1厅 , 86平米 ,26人关注 , 共6次带看 , 2个月以前发布,328,单价38140元/平米,顺义,"116.6709,40.137772"
16639,东方太阳城 3室2厅 530万,东方太阳城 , 3室2厅 , 150平米 ,42人关注 , 共4次带看 , 4个月以前发布,530,单价35334元/平米,顺义,"116.722221,40.087052"
16639,西辛北区 3室1厅 400万,西辛北区 , 3室1厅 , 101.97平米 ,28人关注 , 共14次带看 , 2个月以前发布,400,单价39228元/平米,顺义,"116.649091,40.144305"
16639,西辛南区 3室2厅 440万,西辛南区 , 3室2厅 , 112平米 ,17人关注 , 共6次带看 , 1个月以前发布,440,单价39286元/平米,顺义,"116.649455,40.141789"
16639,马坡花园二区 南北三居 满五年 好楼层,马坡花园二区 , 3室2厅 , 120.02平米 ,28人关注 , 共7次带看 , 1个月以前发布,430,单价35828元/平米,顺义,"116.661657,40.18394"
16639,2000年新房，正规全明两居，低楼层,前进花园石门苑 , 3室1厅 , 91.84平米 ,29人关注 , 共8次带看 , 2个月以前发布,370,单价40288元/平米,顺义,"116.639323,40.137953"
16639,直接拎包入住 看房提前打电话 业主这边诚心出售,石园南区 , 3室1厅 , 100.13平米 ,45人关注 , 共10次带看 , 4个月以前发布,350,单价34955元/平米,顺义,"116.668841,40.113345"
16639,马坡花园二区 3室2厅 480万,马坡花园二区 , 3室2厅 , 119.93平米 ,25人关注 , 共9次带看 , 2个月以前发布,480,单价40024元/平米,顺义,"116.661657,40.18394"
16639,港馨家园东区 3室2厅 396万,港馨家园东区 , 3室2厅 , 110平米 ,58人关注 , 共15次带看 , 4个月以前发布,396,单价36000元/平米,顺义,"116.697838,40.110591"
16639,蓝天苑 南北通透两居室 有正规客厅 另有餐厅,蓝天苑 , 2室2厅 , 118平米 ,24人关注 , 共7次带看 , 2个月以前发布,495,单价41950元/平米,顺义,"116.602298,40.047329"
16639,毛坯三居 双卧朝阳 把东户 全明户型 位置好,东方太阳城 , 3室2厅 , 157平米 ,17人关注 , 共18次带看 , 30天以前发布,580,单价36943元/平米,顺义,"116.722221,40.087052"
16639,石园北区 2室1厅 330万,石园北区 , 2室1厅 , 79平米 ,3人关注 , 共0次带看 , 16天以前发布,330,单价41773元/平米,顺义,"116.670101,40.118729"
16639,南北通透格局，楼层好，采光充足，视野宽阔，精装修,江山赋 , 3室2厅 , 151平米 ,34人关注 , 共40次带看 , 3个月以前发布,950,单价62914元/平米,顺义,"116.559953,40.117154"
16639,东兴二区 3室2厅 450万,东兴二区 , 3室2厅 , 121.17平米 ,19人关注 , 共9次带看 , 5个月以前发布,450,单价37138元/平米,顺义,"116.673001,40.138289"
16639,名都园公寓，两居室，格局实用，看房方便，,名都园 , 2室1厅 , 72.76平米 ,14人关注 , 共5次带看 , 2个月以前发布,480,单价65971元/平米,顺义,"116.543168,40.078165"
16639,石园南区 2室2厅 385万,石园南区 , 2室2厅 , 101.86平米 ,8人关注 , 共4次带看 , 1个月以前发布,385,单价37797元/平米,顺义,"116.668841,40.113345"
16639,顺义区 幸福东区 三居 明厨明卫 ,幸福东区 , 3室1厅 , 96.19平米 ,16人关注 , 共3次带看 , 1个月以前发布,420,单价43664元/平米,顺义,"116.665892,40.140733"
16639,望潮家园  滨河高层  精装 满五年 电梯房,望潮家园 , 2室1厅 , 113.52平米 ,10人关注 , 共7次带看 , 4个月以前发布,425,单价37439元/平米,顺义,"116.693092,40.123469"
16639,万科四季花城 3室1厅 580万,万科四季花城 , 3室1厅 , 122.27平米 ,16人关注 , 共5次带看 , 1个月以前发布,580,单价47437元/平米,顺义,"116.646296,40.132553"
16639,万科四季花城 3室1厅 570万,万科四季花城 , 3室1厅 , 120.33平米 ,19人关注 , 共5次带看 , 1个月以前发布,570,单价47370元/平米,顺义,"116.646296,40.132553"
16639,佳和宜园   精装两居室  客厅朝南  双卧朝南 ,佳和宜园 , 2室2厅 , 75.27平米 ,27人关注 , 共1次带看 , 1个月以前发布,305,单价40521元/平米,顺义,"116.655693,40.180093"
16639,裕龙西区 3室1厅 480万,裕龙西区 , 3室1厅 , 117平米 ,29人关注 , 共4次带看 , 1个月以前发布,480,单价41026元/平米,顺义,"116.674754,40.133443"
16639,满五年 正规三居  精装修 采光充足,裕龙六区 , 3室2厅 , 125.15平米 ,100人关注 , 共7次带看 , 4个月以前发布,395,单价31563元/平米,顺义,"116.683576,40.124464"
16639,全明两居，单价低，满五年，名下就一套，随时签约,金汉绿港一区 , 2室1厅 , 106平米 ,34人关注 , 共2次带看 , 1个月以前发布,449,单价42359元/平米,顺义,"116.671806,40.140872"
16639,观潮园 7室5厅 1599万,观潮园 , 7室5厅 , 373.5平米 ,3人关注 , 共0次带看 , 1个月以前发布,1599,单价42812元/平米,顺义,"116.690605,40.12516"
16639,佳和宜园   精装两居室  客厅朝南  双卧朝南 ,佳和宜园 , 2室2厅 , 75.27平米 ,27人关注 , 共1次带看 , 1个月以前发布,305,单价40521元/平米,顺义,"116.655693,40.180093"
16639,全明两居，单价低，满五年，名下就一套，随时签约,金汉绿港一区 , 2室1厅 , 106平米 ,34人关注 , 共2次带看 , 1个月以前发布,449,单价42359元/平米,顺义,"116.671806,40.140872"
16639,观潮园 7室5厅 1599万,观潮园 , 7室5厅 , 373.5平米 ,3人关注 , 共0次带看 , 1个月以前发布,1599,单价42812元/平米,顺义,"116.690605,40.12516"
16639,南北通透三居室，低楼层，小区南门，位置好。,西辛南区 , 3室2厅 , 89.8平米 ,17人关注 , 共5次带看 , 1个月以前发布,395,单价43987元/平米,顺义,"116.649455,40.141789"
16639,低楼层标准三居，南北通透，配套齐全,西辛南区 , 3室1厅 , 84.25平米 ,13人关注 , 共3次带看 , 1个月以前发布,384,单价45579元/平米,顺义,"116.649455,40.141789"
16639,房子满五年，落地窗，南北通透，中间楼层。,双兴南区 , 2室1厅 , 85平米 ,48人关注 , 共16次带看 , 1个月以前发布,345,单价40589元/平米,顺义,"116.659297,40.14532"
16639,香花畦家园   南北三居  楼层好 ,香花畦家园 , 3室2厅 , 141.46平米 ,45人关注 , 共5次带看 , 4个月以前发布,700,单价49484元/平米,顺义,"116.554991,40.116654"
16639,石园北区 两室一厅一厨一卫  415万出售,石园北区 , 2室1厅 , 99.97平米 ,12人关注 , 共4次带看 , 2个月以前发布,400,单价40013元/平米,顺义,"116.670101,40.118729"
16639,石园北区，全明户型正规两居室，南北通透,石园北区 , 2室1厅 , 92平米 ,10人关注 , 共3次带看 , 2个月以前发布,355,单价38587元/平米,顺义,"116.670101,40.118729"
16639,吉祥花园两居 84平米 470万,空港吉祥花园 , 2室1厅 , 84.51平米 ,15人关注 , 共5次带看 , 1个月以前发布,470,单价55615元/平米,顺义,"116.560215,40.093"
16639,樱花园一区 3室1厅 298万,樱花园一区 , 3室1厅 , 112.95平米 ,15人关注 , 共2次带看 , 2个月以前发布,298,单价26384元/平米,顺义,"116.636725,40.031531"
16639,中间位置，南北通透户型，精装修，电梯房,石园南区 , 2室1厅 , 116.74平米 ,5人关注 , 共2次带看 , 2个月以前发布,375,单价32123元/平米,顺义,"116.668841,40.113345"
16639,吉祥花园全南格局两居室，满五年，中间层带电梯,空港吉祥花园 , 2室1厅 , 74平米 ,70人关注 , 共22次带看 , 2个月以前发布,410,单价55406元/平米,顺义,"116.560215,40.093"
16639,馨港庄园精装三居室好楼层好户型带车位,馨港庄园三区 , 3室1厅 , 127平米 ,14人关注 , 共1次带看 , 1个月以前发布,430,单价33859元/平米,顺义,"116.675955,40.037646"
16639,石园北区 独立大三居  带独立餐厅  精装,石园北区 , 3室1厅 , 129.99平米 ,34人关注 , 共6次带看 , 4个月以前发布,435,单价33465元/平米,顺义,"116.670101,40.118729"
16639,南北通透 三居双卫 带独立餐厅 满5年 适合改善,金汉绿港三区 , 3室2厅 , 139.96平米 ,43人关注 , 共1次带看 , 2个月以前发布,585,单价41798元/平米,顺义,"116.6708,40.139004"
16639,佳和宜园 三居室 南北通透  停车位免费,佳和宜园 , 3室1厅 , 91.07平米 ,18人关注 , 共2次带看 , 1个月以前发布,336,单价36895元/平米,顺义,"116.655693,40.180093"
16639,两室两厅两卫，满五年，带25平地下室,蓝海苑 , 2室2厅 , 108.12平米 ,16人关注 , 共2次带看 , 4个月以前发布,500,单价46245元/平米,顺义,"116.601883,40.044753"
16639,金汉绿港一区 2室1厅 455万,金汉绿港一区 , 2室1厅 , 106平米 ,22人关注 , 共17次带看 , 3个月以前发布,455,单价42925元/平米,顺义,"116.671806,40.140872"
16639,顺鑫花语 精装自住两居室 通透带电梯,顺鑫花语 , 2室2厅 , 92.05平米 ,18人关注 , 共1次带看 , 3个月以前发布,420,单价45628元/平米,顺义,"116.558192,40.162583"
16639,"彩俸北区，独立两居室,南北通透，诚意出售",彩俸北区 , 2室1厅 , 86.73平米 ,98人关注 , 共25次带看 , 5个月以前发布,289,单价33322元/平米,顺义,"116.707179,40.138113"
16639,万科四季花城 3室1厅 560万,万科四季花城 , 3室1厅 , 117.79平米 ,59人关注 , 共22次带看 , 2个月以前发布,560,单价47543元/平米,顺义,"116.646296,40.132553"
16639,青岚花园 3室2厅 530万,青岚花园 , 3室2厅 , 137平米 ,35人关注 , 共8次带看 , 3个月以前发布,530,单价38687元/平米,顺义,"116.541024,40.123247"
16639,裕龙六区 3室2厅 460万,裕龙六区 , 3室2厅 , 121.19平米 ,15人关注 , 共4次带看 , 1个月以前发布,460,单价37957元/平米,顺义,"116.683576,40.124464"
16639,双兴东区正规一居室 客厅带东窗 ,双兴东区 , 1室1厅 , 67.88平米 ,27人关注 , 共13次带看 , 1个月以前发布,290,单价42723元/平米,顺义,"116.664599,40.144969"
16639,双裕小区 三居室 南北通透 首套购买只有1%的契税,双裕小区 , 3室1厅 , 85.62平米 ,33人关注 , 共6次带看 , 2个月以前发布,390,单价45551元/平米,顺义,"116.561056,40.112912"
16639,双裕花园东区 带100平花园 1+2复式 双卧向阳,双裕花园东区 , 5室3厅 , 225.85平米 ,27人关注 , 共10次带看 , 28天以前发布,890,单价39407元/平米,顺义,"116.559275,40.113935"
16639,莫奈花园 4室2厅 850万,莫奈花园 , 4室2厅 , 215.87平米 ,231人关注 , 共95次带看 , 7个月以前发布,850,单价39376元/平米,顺义,"116.53916,40.107599"
16639,马坡花园二区 户型方正 精装两居 满五年,马坡花园二区 , 2室1厅 , 105平米 ,40人关注 , 共5次带看 , 4个月以前发布,356,单价33905元/平米,顺义,"116.661657,40.18394"
16639,西辛北区 正规2居室 业主诚心出售,西辛北区 , 2室1厅 , 82.57平米 ,18人关注 , 共5次带看 , 2个月以前发布,315,单价38150元/平米,顺义,"116.649091,40.144305"
16639,双裕花园东区 精装修2居 诚心出售,双裕花园东区 , 2室1厅 , 99.13平米 ,21人关注 , 共4次带看 , 3个月以前发布,500,单价50439元/平米,顺义,"116.559275,40.113935"
16639,中间楼层 南北通透 上学方便 诚售,双兴北区 , 3室1厅 , 87平米 ,23人关注 , 共4次带看 , 3个月以前发布,370,单价42529元/平米,顺义,"116.660013,40.147758"
16639,樱花园一区正规三居室采光好业主诚心出售,樱花园一区 , 3室2厅 , 123.17平米 ,14人关注 , 共4次带看 , 2个月以前发布,350,单价28417元/平米,顺义,"116.636725,40.031531"
16639,双裕小区 3室1厅 385万,双裕小区 , 3室1厅 , 85.62平米 ,23人关注 , 共1次带看 , 1个月以前发布,385,单价44967元/平米,顺义,"116.561056,40.112912"
16639,龙府花园 南北通透户型 浇筑结构 背靠减河公园,龙府花园 , 3室1厅 , 98.8平米 ,18人关注 , 共5次带看 , 8个月以前发布,450,单价45547元/平米,顺义,"116.658337,40.147875"
16639,空港吉祥花园满五年两居室，东西北朝向，明厨明卫,空港吉祥花园 , 2室1厅 , 74平米 ,102人关注 , 共21次带看 , 3个月以前发布,415,单价56082元/平米,顺义,"116.560215,40.093"
16639,满五年，精装修，带阁楼，带边窗,裕祥花园 , 2室1厅 , 75.27平米 ,75人关注 , 共2次带看 , 3个月以前发布,358,单价47563元/平米,顺义,"116.554715,40.107876"
16639,裕龙一区 3室2厅 440万,裕龙一区 , 3室2厅 , 126.85平米 ,54人关注 , 共3次带看 , 3个月以前发布,440,单价34687元/平米,顺义,"116.673595,40.124882"
16639,裕祥花园理想三居采光好 税费少位置好 集中供暖地铁房,裕祥花园 , 3室1厅 , 108.1平米 ,24人关注 , 共3次带看 , 2个月以前发布,445,单价41166元/平米,顺义,"116.554715,40.107876"
16639,水木兰亭二居室户型 中等装修！,水木兰亭 , 2室2厅 , 96.51平米 ,67人关注 , 共4次带看 , 4个月以前发布,510,单价52845元/平米,顺义,"116.565327,40.069623"
16639,三山新新家园 中间层  采光好 南北通透,三山新新家园 , 3室1厅 , 95.25平米 ,27人关注 , 共3次带看 , 2个月以前发布,480,单价50394元/平米,顺义,"116.541005,40.103325"
16639,万科城市花园 电梯房 顶层复式  南北通透,万科城市花园 , 4室3厅 , 289.22平米 ,132人关注 , 共34次带看 , 9个月以前发布,1150,单价39763元/平米,顺义,"116.560168,40.110054"
16639,前进花园一区 2室1厅 295万,前进花园一区 , 2室1厅 , 80.83平米 ,8人关注 , 共6次带看 , 1个月以前发布,295,单价36497元/平米,顺义,"116.639934,40.143448"
16639,佳和宜园 3室1厅 330万,佳和宜园 , 3室1厅 , 91.17平米 ,27人关注 , 共1次带看 , 1个月以前发布,330,单价36197元/平米,顺义,"116.655693,40.180093"
16639,东方太阳城琴湖湾一层二居室送40平米花园！,东方太阳城 , 2室2厅 , 117平米 ,9人关注 , 共1次带看 , 4个月以前发布,482,单价41197元/平米,顺义,"116.722221,40.087052"
16639,西平街一里 2室1厅 255万,西平街一里 , 2室1厅 , 65.38平米 ,2人关注 , 共9次带看 , 1个月以前发布,255,单价39003元/平米,顺义,"116.59741,40.053178"
16639,此房精装修，采光好，业主诚心出售！,西辛北区 , 3室1厅 , 103平米 ,11人关注 , 共1次带看 , 3个月以前发布,400,单价38835元/平米,顺义,"116.649091,40.144305"
16639,石园东苑房龄新，南北通透，业主诚心出售，视野开阔。,石园东苑 , 3室1厅 , 108.61平米 ,14人关注 , 共2次带看 , 3个月以前发布,410,单价37750元/平米,顺义,"116.673369,40.111803"
16639,满五年 业主名下无其他住房 业主诚售,双裕小区 , 2室1厅 , 71.9平米 ,33人关注 , 共7次带看 , 1个月以前发布,345,单价47984元/平米,顺义,"116.561056,40.112912"
16639,西辛南区卧龙公寓高层有电梯正规两居室,卧龙公寓 , 2室1厅 , 96.48平米 ,7人关注 , 共2次带看 , 1个月以前发布,420,单价43533元/平米,顺义,"116.647066,40.143241"
16639,石园南区 2室1厅 370万,石园南区 , 2室1厅 , 94.19平米 ,2人关注 , 共3次带看 , 30天以前发布,370,单价39283元/平米,顺义,"116.668841,40.113345"
16639,鲁能溪园 带装修两居室  满两年 随时看房,鲁能7号院颐景溪园 , 2室1厅 , 85.12平米 ,87人关注 , 共66次带看 , 1个月以前发布,348,单价40884元/平米,顺义,"116.669059,40.187381"
16639,义宾北区 2室2厅 340万,义宾北区 , 2室2厅 , 90.83平米 ,18人关注 , 共12次带看 , 29天以前发布,340,单价37433元/平米,顺义,"116.655265,40.139222"
16639,江山赋 3室2厅 720万,江山赋 , 3室2厅 , 106.21平米 ,25人关注 , 共11次带看 , 23天以前发布,720,单价67791元/平米,顺义,"116.559953,40.117154"
16639,北京方糖loft 不限购 层高5.5米,北京方糖 , 2室1厅 , 58.73平米 ,19人关注 , 共13次带看 , 28天以前发布,320,单价54487元/平米,顺义,"116.564402,40.108073"
16639,万科四季花城 3室1厅 550万,万科四季花城 , 3室1厅 , 121.61平米 ,41人关注 , 共24次带看 , 19天以前发布,550,单价45227元/平米,顺义,"116.646296,40.132553"
16639,双兴东区 3室1厅 425万,双兴东区 , 3室1厅 , 96.59平米 ,8人关注 , 共0次带看 , 1个月以前发布,425,单价44001元/平米,顺义,"116.664599,40.144969"
16639,西辛北区 3室1厅 380万,西辛北区 , 3室1厅 , 103.75平米 ,10人关注 , 共0次带看 , 1个月以前发布,380,单价36627元/平米,顺义,"116.649091,40.144305"
16639,经典大三居格局方正可做阁楼看房方便,裕龙西区 , 3室1厅 , 128.99平米 ,32人关注 , 共0次带看 , 3个月以前发布,449,单价34809元/平米,顺义,"116.674754,40.133443"
16639,龙府花园 3室2厅 538万,龙府花园 , 3室2厅 , 135.7平米 ,11人关注 , 共0次带看 , 1个月以前发布,538,单价39647元/平米,顺义,"116.658337,40.147875"
16639,龙府花园 3室2厅 455万,龙府花园 , 3室2厅 , 108.87平米 ,2人关注 , 共0次带看 , 1个月以前发布,455,单价41793元/平米,顺义,"116.658337,40.147875"
16639,带落地窗 可观顺义城区 拎包入住,怡馨家园 , 1室1厅 , 102平米 ,25人关注 , 共14次带看 , 3个月以前发布,415,单价40687元/平米,顺义,"116.654682,40.125799"
16639,双兴南区 南北通透 三居两卫 干净装修  只有契税,双兴南区 , 3室2厅 , 122.03平米 ,9人关注 , 共0次带看 , 2个月以前发布,405,单价33189元/平米,顺义,"116.659297,40.14532"
16639,紧缺楼层 南北通透 无抵押 诚意出售 光明小学,东兴二区 , 2室1厅 , 84.76平米 ,35人关注 , 共15次带看 , 4个月以前发布,360,单价42473元/平米,顺义,"116.673001,40.138289"
16639,马坡花园二区 3室2厅 420万,马坡花园二区 , 3室2厅 , 120平米 ,17人关注 , 共0次带看 , 5个月以前发布,420,单价35000元/平米,顺义,"116.661657,40.18394"
16639,三山新新家园 3室1厅 446万,三山新新家园 , 3室1厅 , 97.11平米 ,20人关注 , 共0次带看 , 6个月以前发布,446,单价45928元/平米,顺义,"116.541005,40.103325"
16639,空港吉祥花园 2室1厅 450万,空港吉祥花园 , 2室1厅 , 84平米 ,26人关注 , 共17次带看 , 2个月以前发布,450,单价53572元/平米,顺义,"116.560215,40.093"
16639,顺鑫花语 2室2厅 450万,顺鑫花语 , 2室2厅 , 92平米 ,10人关注 , 共0次带看 , 31天以前发布,450,单价48914元/平米,顺义,"116.558192,40.162583"
16639,低楼层三居，南北通透，采光充足,万科城市花园 , 3室2厅 , 101平米 ,34人关注 , 共0次带看 , 31天以前发布,500,单价49505元/平米,顺义,"116.560168,40.110054"
16639,金汉绿港四区 3室2厅 670万,金汉绿港四区 , 3室2厅 , 157.29平米 ,0人关注 , 共0次带看 , 1个月以前发布,670,单价42597元/平米,顺义,"116.66841,40.142858"
16639,望潮家园 3室1厅 480万,望潮家园 , 3室1厅 , 127.81平米 ,2人关注 , 共0次带看 , 1个月以前发布,480,单价37556元/平米,顺义,"116.693092,40.123469"
16639,西辛南区 2室1厅 287万,西辛南区 , 2室1厅 , 67.22平米 ,66人关注 , 共19次带看 , 2个月以前发布,287,单价42696元/平米,顺义,"116.649455,40.141789"
16639,高层采光好，有装修loft，带燃气,智地香蜜湾 , 2室2厅 , 70.22平米 ,20人关注 , 共35次带看 , 1个月以前发布,360,单价51268元/平米,顺义,"116.545553,40.103666"
16639,万科四季花城 2室1厅 436万,万科四季花城 , 2室1厅 , 91.31平米 ,101人关注 , 共20次带看 , 2个月以前发布,436,单价47750元/平米,顺义,"116.646296,40.132553"
16639,滨河小区 2室1厅 274万,滨河小区 , 2室1厅 , 72.93平米 ,45人关注 , 共13次带看 , 2个月以前发布,274,单价37571元/平米,顺义,"116.688628,40.123965"
16639,新国展 精装两居室 婚房室内保持良好,米兰花园 , 2室1厅 , 97.4平米 ,61人关注 , 共14次带看 , 2个月以前发布,406,单价41684元/平米,顺义,"116.567579,40.076173"
16639,馨港二区南北通透 装修好 一层带花园 正规两居室,馨港庄园二区 , 2室2厅 , 111.44平米 ,41人关注 , 共47次带看 , 2个月以前发布,373,单价33471元/平米,顺义,"116.675236,40.039656"
16639,东方太阳城 2室2厅 550万,东方太阳城 , 2室2厅 , 146.63平米 ,14人关注 , 共50次带看 , 2个月以前发布,550,单价37510元/平米,顺义,"116.722221,40.087052"
16639,怡馨家园 1室1厅 340万,怡馨家园 , 1室1厅 , 75.41平米 ,103人关注 , 共93次带看 , 4个月以前发布,340,单价45087元/平米,顺义,"116.654682,40.125799"
16639,南竺园 南北通透 南北阳台 随时看房 业主诚售 ,南竺园 , 2室1厅 , 64.1平米 ,64人关注 , 共52次带看 , 1个月以前发布,240,单价37442元/平米,顺义,"116.599448,40.048301"
16639,石园北区全明户型两居 南北通透,石园北区 , 2室1厅 , 87.6平米 ,15人关注 , 共4次带看 , 2个月以前发布,355,单价40526元/平米,顺义,"116.670101,40.118729"
16639,大开间  一层带花园，七十年大产权房屋,樱花园二区 , 1室0厅 , 35.43平米 ,196人关注 , 共6次带看 , 5个月以前发布,170,单价47982元/平米,顺义,"116.632799,40.031538"
16639,双兴南区 4室2厅 465万,双兴南区 , 4室2厅 , 177平米 ,52人关注 , 共6次带看 , 4个月以前发布,465,单价26272元/平米,顺义,"116.659297,40.14532"
16639,三山新新家园 满五年没有个税 南北通透两居室,三山新新家园 , 2室1厅 , 74平米 ,61人关注 , 共9次带看 , 2个月以前发布,340,单价45946元/平米,顺义,"116.541005,40.103325"
16639,滨河小区正规两居室南北通透，正规两居室,滨河小区 , 2室1厅 , 72.93平米 ,87人关注 , 共7次带看 , 4个月以前发布,275,单价37708元/平米,顺义,"116.688628,40.123965"
16639,双裕花园西区 把边联排 精装修 看房提前约,双裕花园西区 , 3室2厅 , 222平米 ,139人关注 , 共49次带看 , 一年前发布,750,单价33784元/平米,顺义,"116.555368,40.113521"
16639,满五年名下就这一套，正规两居室，中间楼层,前进花园一区 , 2室1厅 , 75.46平米 ,17人关注 , 共7次带看 , 1个月以前发布,320,单价42407元/平米,顺义,"116.639934,40.143448"
16639,义宾北区 2室1厅 260万,义宾北区 , 2室1厅 , 65.44平米 ,26人关注 , 共8次带看 , 2个月以前发布,260,单价39732元/平米,顺义,"116.655265,40.139222"
16639,双兴东区 2室1厅 295万,双兴东区 , 2室1厅 , 70.34平米 ,86人关注 , 共12次带看 , 3个月以前发布,295,单价41940元/平米,顺义,"116.664599,40.144969"
16639,东方太阳城 2室2厅 460万,东方太阳城 , 2室2厅 , 142平米 ,10人关注 , 共10次带看 , 23天以前发布,460,单价32395元/平米,顺义,"116.722221,40.087052"
16639,高丽营 丽喜花园 高层两居室  可做阁楼,丽喜花园 , 2室1厅 , 78.29平米 ,69人关注 , 共20次带看 , 27天以前发布,275,单价35126元/平米,顺义,"116.557742,40.165279"
16639,莫奈花园 3室2厅 1200万,莫奈花园 , 3室2厅 , 182.21平米 ,6人关注 , 共1次带看 , 26天以前发布,1200,单价65859元/平米,顺义,"116.53916,40.107599"
16639,怡馨家园大四居、南北通透、业主诚意出售,怡馨家园 , 4室2厅 , 152.28平米 ,72人关注 , 共41次带看 , 6个月以前发布,389,单价25546元/平米,顺义,"116.654682,40.125799"
16639,万科通透大两居  满五年近地铁 班车直达东直门 位置好,万科城市花园 , 2室2厅 , 81.6平米 ,133人关注 , 共70次带看 , 4个月以前发布,370,单价45344元/平米,顺义,"116.560168,40.110054"
16639,房本满二年精装三居室客厅主卧室朝南户型两个卫生间,红杉一品 , 3室1厅 , 112.74平米 ,108人关注 , 共93次带看 , 3个月以前发布,560,单价49672元/平米,顺义,"116.653551,40.130253"
16639,裕龙三区 诚心出售 看房方便  南北通透 纯正三居双卫 ,裕龙三区 , 3室1厅 , 161.41平米 ,35人关注 , 共45次带看 , 2个月以前发布,600,单价37173元/平米,顺义,"116.678194,40.129754"
16639,红杉一品 3室2厅 608万,红杉一品 , 3室2厅 , 134.23平米 ,112人关注 , 共68次带看 , 4个月以前发布,608,单价45296元/平米,顺义,"116.653551,40.130253"
16639,房本满五年，已购公房无原值，首套契税1%，个税1%。,西辛南区 , 2室2厅 , 85.03平米 ,48人关注 , 共33次带看 , 1个月以前发布,360,单价42338元/平米,顺义,"116.649455,40.141789"
16639,香花畦家园 3室2厅 780万,香花畦家园 , 3室2厅 , 141.37平米 ,1人关注 , 共4次带看 , 14天以前发布,780,单价55175元/平米,顺义,"116.554991,40.116654"
16639,南北通透，二层，两居室，适合居住,顺鑫花语 , 2室1厅 , 97.61平米 ,39人关注 , 共50次带看 , 6个月以前发布,400,单价40980元/平米,顺义,"116.558192,40.162583"
16639,三层，南北通透，独立一居，业主诚心出售！,石园东苑 , 1室1厅 , 69平米 ,20人关注 , 共6次带看 , 3个月以前发布,290,单价42029元/平米,顺义,"116.673369,40.111803"
16639,龙湾别墅 3室3厅 1850万,龙湾别墅 , 3室3厅 , 352平米 ,70人关注 , 共41次带看 , 一年前发布,1850,单价52557元/平米,顺义,"116.516835,40.087744"
16639,石园南区 2室1厅 320万,石园南区 , 2室1厅 , 86.04平米 ,28人关注 , 共18次带看 , 4个月以前发布,320,单价37193元/平米,顺义,"116.668841,40.113345"
